Stash_Peak_During_Access,Queue_Length,CDF
0,0,0.0
0,0,9.07786996859057e-06
0,0,1.815573993718114e-05
0,0,2.7233609905771708e-05
0,0,3.631147987436228e-05
0,0,4.538934984295285e-05
0,0,5.4467219811543417e-05
0,0,6.354508978013399e-05
0,0,7.262295974872456e-05
0,0,8.170082971731512e-05
0,0,9.07786996859057e-05
0,0,9.985656965449626e-05
0,0,0.00010893443962308683
0,0,0.0001180123095916774
0,0,0.00012709017956026797
0,0,0.00013616804952885854
0,0,0.0001452459194974491
0,0,0.00015432378946603968
0,0,0.00016340165943463025
0,1,0.00017247952940322082
0,1,0.0001815573993718114
0,1,0.00019063526934040196
0,1,0.00019971313930899253
0,1,0.0002087910092775831
0,1,0.00021786887924617367
0,1,0.00022694674921476424
0,1,0.0002360246191833548
0,1,0.0002451024891519454
0,1,0.00025418035912053594
0,1,0.0002632582290891265
0,1,0.0002723360990577171
0,2,0.00028141396902630765
0,2,0.0002904918389948982
0,2,0.0002995697089634888
0,2,0.00030864757893207936
0,2,0.00031772544890066993
0,2,0.0003268033188692605
0,2,0.00033588118883785107
0,2,0.00034495905880644164
0,2,0.0003540369287750322
0,2,0.0003631147987436228
0,2,0.00037219266871221335
0,2,0.0003812705386808039
0,2,0.0003903484086493945
0,2,0.00039942627861798505
0,2,0.0004085041485865756
0,3,0.0004175820185551662
0,3,0.00042665988852375676
0,3,0.00043573775849234733
0,3,0.0004448156284609379
0,3,0.00045389349842952847
0,3,0.00046297136839811904
0,3,0.0004720492383667096
0,3,0.0004811271083353002
0,3,0.0004902049783038907
0,3,0.0004992828482724813
0,3,0.0005083607182410719
0,3,0.0005174385882096625
0,3,0.000526516458178253
0,4,0.0005355943281468436
0,4,0.0005446721981154342
0,4,0.0005537500680840247
0,4,0.0005628279380526153
0,4,0.0005719058080212059
0,4,0.0005809836779897964
0,4,0.000590061547958387
0,4,0.0005991394179269776
0,4,0.0006082172878955682
0,4,0.0006172951578641587
0,4,0.0006263730278327493
0,4,0.0006354508978013399
0,4,0.0006445287677699304
0,5,0.000653606637738521
0,5,0.0006626845077071116
0,5,0.0006717623776757021
0,5,0.0006808402476442927
0,5,0.0006899181176128833
0,5,0.0006989959875814738
0,5,0.0007080738575500644
0,5,0.000717151727518655
0,5,0.0007262295974872456
0,5,0.0007353074674558361
