L,DirectStore,Path ORAM,Ring ORAM,AtomORAM
10,10.442673,90.75037337500001,29.46526634375,13.2159260625
12,10.442673,103.61407762499998,32.75119240624999,13.2159260625
14,10.442673,116.47778187499998,36.037118468749995,13.2159260625
16,10.442673,129.34148612500002,39.323044531250005,13.2159260625
18,10.442673,142.205190375,42.608970593749994,13.2159260625
20,10.442673,155.06889462499998,45.894896656250005,13.2159260625
22,10.442673,167.93259887499997,49.180822718749994,13.2159260625
24,10.442673,180.79630312500004,52.46674878124999,13.2159260625
