arrival_time,service_start_time,response_time,request_group,source,queue_length_before,queue_length_after,queueing_delay,end_to_end_latency
0.0,0.0,5e-05,0,burst_1_n10,1,0,0.0,5e-05
0.0005885993177997949,0.00874436021875,0.011125813625,0,burst_1_n10,9,8,0.008155760900950205,0.010537214307200204
0.0009696183265091973,0.015744360218750007,0.018125813625000008,0,burst_1_n10,8,7,0.01477474189224081,0.01715619529849081
0.001950739694157022,0.01899436021875001,0.02137581362500001,0,burst_1_n10,7,6,0.017043620524592986,0.019425073930842987
0.002237663238158073,0.021744360218750012,0.024125813625000013,0,burst_1_n10,6,5,0.019506696980591938,0.02188815038684194
0.0030807216433261005,0.03049436021875002,0.030544360218750025,0,burst_1_n10,5,4,0.02741363857542392,0.027463638575423922
0.003719548343621203,0.03599436021875002,0.038375813625000026,0,burst_1_n10,4,3,0.03227481187512882,0.03465626528137882
0.003989147053350852,0.04549436021875003,0.047875813625000034,0,burst_1_n10,3,2,0.04150521316539918,0.043886666571649184
0.004798069933178156,0.05499436021875004,0.05737581362500004,0,burst_1_n10,2,1,0.05019629028557188,0.05257774369182189
0.005043064723308538,0.05924436021875004,0.05929436021875004,0,burst_1_n10,1,0,0.054201295495441504,0.054251295495441505
0.06793509543333529,0.06793509543333529,0.07031654883958528,1,burst_2_n30,1,0,0.0,0.00238145340625
0.06821892194162482,0.07496090905833529,0.07501090905833528,1,burst_2_n30,9,8,0.006741987116710466,0.006791987116710465
0.06852777755763746,0.07946090905833529,0.08184236246458529,1,burst_2_n30,15,14,0.010933131500697829,0.013314584906947828
0.06923720058460849,0.0872109090583353,0.0895923624645853,1,burst_2_n30,25,24,0.017973708473726813,0.020355161879976814
0.07042942313421494,0.0894609090583353,0.0918423624645853,1,burst_2_n30,26,25,0.019031485924120364,0.021412939330370365
0.07077798548759451,0.0922109090583353,0.0945923624645853,1,burst_2_n30,25,24,0.021432923570740794,0.023814376976990796
0.07124587224512292,0.0937109090583353,0.0960923624645853,1,burst_2_n30,24,23,0.02246503681321238,0.02484649021946238
0.07219879211200964,0.09921090905833531,0.1015923624645853,1,burst_2_n30,23,22,0.027012116946325673,0.029393570352575674
0.07353604284295805,0.10221090905833531,0.10226090905833532,1,burst_2_n30,22,21,0.028674866215377265,0.028724866215377266
0.07442856638129905,0.10371090905833531,0.10376090905833532,1,burst_2_n30,21,20,0.029282342677036263,0.029332342677036265
0.07510458295087999,0.11621090905833532,0.11626090905833533,1,burst_2_n30,20,19,0.041106326107455335,0.041156326107455336
0.0764760890775915,0.12071090905833533,0.12076090905833534,1,burst_2_n30,19,18,0.04423481998074383,0.04428481998074383
0.07673198829433281,0.12396090905833533,0.12401090905833534,1,burst_2_n30,18,17,0.04722892076400252,0.04727892076400252
0.07796215044519123,0.12746090905833532,0.12984236246458533,1,burst_2_n30,17,16,0.049498758613144095,0.0518802120193941
0.07850968158878924,0.13471090905833533,0.13709236246458534,1,burst_2_n30,16,15,0.05620122746954609,0.05858268087579609
0.07888278768881817,0.14321090905833533,0.14559236246458535,1,burst_2_n30,15,14,0.06432812136951717,0.06670957477576717
0.07922413837451221,0.14671090905833534,0.14909236246458535,1,burst_2_n30,14,13,0.06748677068382312,0.06986822409007312
0.07979431656343454,0.15146090905833534,0.15151090905833534,1,burst_2_n30,13,12,0.0716665924949008,0.0717165924949008
0.08097366819437858,0.15271090905833534,0.15276090905833534,1,burst_2_n30,12,11,0.07173724086395676,0.07178724086395676
0.08139053985028731,0.15496090905833534,0.15734236246458533,1,burst_2_n30,11,10,0.07357036920804803,0.07595182261429803
0.08228846004668228,0.15571090905833535,0.15576090905833534,1,burst_2_n30,10,9,0.07342244901165307,0.07347244901165306
0.0832551562093937,0.15921090905833535,0.15926090905833534,1,burst_2_n30,9,8,0.07595575284894165,0.07600575284894165
0.08390203326066457,0.16496090905833535,0.16734236246458534,1,burst_2_n30,8,7,0.08105887579767078,0.08344032920392078
0.08475932661951605,0.16621090905833535,0.16859236246458534,1,burst_2_n30,7,6,0.08145158243881931,0.08383303584506929
0.08503467338948403,0.17371090905833536,0.17376090905833536,1,burst_2_n30,6,5,0.08867623566885133,0.08872623566885132
0.08530619479344351,0.17571090905833536,0.17576090905833536,1,burst_2_n30,5,4,0.09040471426489186,0.09045471426489185
0.0857533452488267,0.17621090905833536,0.17859236246458537,1,burst_2_n30,4,3,0.09045756380950866,0.09283901721575866
0.08676982521664485,0.18496090905833537,0.18501090905833537,1,burst_2_n30,3,2,0.09819108384169052,0.09824108384169052
0.08748293598344814,0.19021090905833538,0.19026090905833537,1,burst_2_n30,2,1,0.10272797307488724,0.10277797307488723
0.08805991258790029,0.19271090905833538,0.1950923624645854,1,burst_2_n30,1,0,0.10465099647043509,0.10703244987668509
0.27294145840013434,0.27294145840013434,0.27532291180638435,2,burst_3_n50,1,0,0.0,0.00238145340625
0.27368527965177925,0.28096727202513405,0.28334872543138406,2,burst_3_n50,8,7,0.007281992373354806,0.009663445779604806
0.27424500004801566,0.28271727202513386,0.28276727202513385,2,burst_3_n50,9,8,0.008472271977118195,0.008522271977118195
0.2753982554258427,0.2877172720251333,0.2877672720251333,2,burst_3_n50,16,15,0.012319016599290633,0.012369016599290633
0.27643704874631814,0.2884672720251332,0.29084872543138324,2,burst_3_n50,15,14,0.012030223278815089,0.014411676685065088
0.2769299645591847,0.2894672720251331,0.2918487254313831,2,burst_3_n50,15,14,0.012537307465948389,0.014918760872198388
0.2778192730114951,0.3067172720251312,0.3067672720251312,2,burst_3_n50,34,33,0.0288979990136361,0.0289479990136361
0.27864950881606887,0.308467272025131,0.308517272025131,2,burst_3_n50,37,36,0.029817763209062154,0.029867763209062155
0.279899673810757,0.3249672720251292,0.3273487254313792,2,burst_3_n50,42,41,0.04506759821437223,0.04744905162062223
0.280975008158084,0.32921727202512874,0.32926727202512873,2,burst_3_n50,41,40,0.04824226386704472,0.04829226386704472
0.28152053347595224,0.33346727202512827,0.33351727202512826,2,burst_3_n50,40,39,0.05194673854917603,0.05199673854917603
0.28289674329294334,0.33896727202512766,0.33901727202512766,2,burst_3_n50,39,38,0.05607052873218432,0.05612052873218432
0.2832384222268493,0.34271727202512725,0.34276727202512725,2,burst_3_n50,38,37,0.059478849798277944,0.059528849798277945
0.28394016961299157,0.3552172720251259,0.35759872543137583,2,burst_3_n50,37,36,0.07127710241213431,0.07365855581838429
0.28504873872846986,0.3604672720251253,0.36284872543137525,2,burst_3_n50,36,35,0.07541853329665543,0.07779998670290542
0.28543112017006245,0.36271727202512505,0.365098725431375,2,burst_3_n50,35,34,0.0772861518550626,0.07966760526131259
0.2862178758906334,0.36446727202512486,0.36451727202512485,2,burst_3_n50,34,33,0.07824939613449144,0.07829939613449144
0.28646492459909034,0.36796727202512447,0.36801727202512446,2,burst_3_n50,33,32,0.08150234742603413,0.08155234742603412
0.2874667836269316,0.39171727202512185,0.39176727202512185,2,burst_3_n50,32,31,0.10425048839819023,0.10430048839819023
0.288584268666387,0.3929672720251217,0.3953487254313717,2,burst_3_n50,31,30,0.10438300335873474,0.10676445676498472
0.2894718997947198,0.40821727202512004,0.40826727202512003,2,burst_3_n50,30,29,0.11874537223040021,0.11879537223040021
0.29072247316891686,0.41371727202511943,0.4160987254313694,2,burst_3_n50,29,28,0.12299479885620257,0.12537625226245255
0.2912989701843346,0.4149672720251193,0.41734872543136925,2,burst_3_n50,28,27,0.1236683018407847,0.12604975524703468
0.29233332462386297,0.4219672720251185,0.4243487254313685,2,burst_3_n50,27,26,0.12963394740125556,0.13201540080750554
0.29324656847638897,0.4242172720251183,0.42659872543136823,2,burst_3_n50,26,25,0.1309707035487293,0.1333521569549793
0.29414244272152795,0.42796727202511786,0.42801727202511786,2,burst_3_n50,25,24,0.1338248293035899,0.1338748293035899
0.29488988911908964,0.42971727202511767,0.4320987254313676,2,burst_3_n50,24,23,0.13482738290602803,0.137208836312278
0.2960978504557047,0.43096727202511753,0.4310172720251175,2,burst_3_n50,23,22,0.13486942156941284,0.13491942156941283
0.2974314677698342,0.43346727202511726,0.4358487254313672,2,burst_3_n50,22,21,0.13603580425528305,0.13841725766153304
0.2982003857747378,0.4419672720251163,0.4443487254313663,2,burst_3_n50,21,20,0.14376688625037853,0.14614833965662852
0.2991973684213074,0.44446727202511604,0.44451727202511604,2,burst_3_n50,20,19,0.14526990360380865,0.14531990360380864
0.2994701717344241,0.45546727202511483,0.4555172720251148,2,burst_3_n50,19,18,0.15599710029069075,0.15604710029069074
0.3005119621599894,0.4592172720251144,0.4615987254313644,2,burst_3_n50,18,17,0.15870530986512504,0.16108676327137503
0.3014885167854226,0.4639672720251139,0.46634872543136385,2,burst_3_n50,17,16,0.1624787552396913,0.16486020864594128
0.30288023191278257,0.471967272025113,0.472017272025113,2,burst_3_n50,16,15,0.16908704011233044,0.16913704011233044
