L,DirectStore,Path ORAM,Ring ORAM,AtomORAM
10,1.0,22.0,13.2,1.0
12,1.0,26.0,15.6,1.0
14,1.0,30.0,18.0,1.0
16,1.0,34.0,20.4,1.0
18,1.0,38.0,22.8,1.0
20,1.0,42.0,25.2,1.0
22,1.0,46.0,27.6,1.0
24,1.0,50.0,30.0,1.0
