Trace,Protocol,P5,P50,P95,Mean
MSRC,Path ORAM,0.0200210430625,7.593234663263375,21.931268629908104,8.276796633229424
MSRC,Ring ORAM,0.0030911105000000004,1.5698989192882598,6.323879198350195,2.1119579751054323
MSRC,AtomORAM,0.00238145340625,0.8934032002448032,3.9662266344669956,1.285273843258285
AliCloud,Path ORAM,1.6692325971593787,17.086265584030794,32.608159007505066,17.18154623403076
AliCloud,Ring ORAM,0.4387108988624996,5.20661550009366,10.107468073993456,5.291025220353721
AliCloud,AtomORAM,0.21600301021871515,2.570940860219605,5.055832782887472,2.7036928434769645
