Trace,Protocol,P5,P50,P95,Mean
MSRC,Path ORAM,0.5276897661249464,184.79432996595017,408.06665248366926,190.06388245625044
MSRC,Ring ORAM,0.2815698880312058,100.96715541028505,235.34756124253184,104.77323123454295
MSRC,AtomORAM,0.025331453406250003,33.77443086765568,85.55700718844834,35.80707075914624
AliCloud,Path ORAM,26.29093759715946,261.10821558403484,496.0116200209156,261.20349623403564
AliCloud,Ring ORAM,15.49195423091257,156.87529050009204,298.39983781598715,156.90036817034985
AliCloud,AtomORAM,6.384626760218894,62.806372086924256,120.33530139095933,63.79380171847841
