Queue_Length,CDF
0,0.0
0,9.07786996859057e-06
0,1.815573993718114e-05
0,2.7233609905771708e-05
0,3.631147987436228e-05
0,4.538934984295285e-05
0,5.4467219811543417e-05
0,6.354508978013399e-05
0,7.262295974872456e-05
0,8.170082971731512e-05
0,9.07786996859057e-05
0,9.985656965449626e-05
0,0.00010893443962308683
0,0.0001180123095916774
0,0.00012709017956026797
0,0.00013616804952885854
0,0.0001452459194974491
0,0.00015432378946603968
0,0.00016340165943463025
0,0.00017247952940322082
0,0.0001815573993718114
1,0.00019063526934040196
1,0.00019971313930899253
1,0.0002087910092775831
1,0.00021786887924617367
1,0.00022694674921476424
1,0.0002360246191833548
1,0.0002451024891519454
1,0.00025418035912053594
1,0.0002632582290891265
1,0.0002723360990577171
1,0.00028141396902630765
1,0.0002904918389948982
1,0.0002995697089634888
2,0.00030864757893207936
2,0.00031772544890066993
2,0.0003268033188692605
2,0.00033588118883785107
2,0.00034495905880644164
2,0.0003540369287750322
2,0.0003631147987436228
2,0.00037219266871221335
2,0.0003812705386808039
2,0.0003903484086493945
2,0.00039942627861798505
2,0.0004085041485865756
2,0.0004175820185551662
2,0.00042665988852375676
2,0.00043573775849234733
2,0.0004448156284609379
2,0.00045389349842952847
2,0.00046297136839811904
2,0.0004720492383667096
2,0.0004811271083353002
3,0.0004902049783038907
3,0.0004992828482724813
3,0.0005083607182410719
3,0.0005174385882096625
3,0.000526516458178253
3,0.0005355943281468436
3,0.0005446721981154342
3,0.0005537500680840247
3,0.0005628279380526153
3,0.0005719058080212059
3,0.0005809836779897964
3,0.000590061547958387
3,0.0005991394179269776
3,0.0006082172878955682
3,0.0006172951578641587
3,0.0006263730278327493
4,0.0006354508978013399
4,0.0006445287677699304
4,0.000653606637738521
4,0.0006626845077071116
4,0.0006717623776757021
4,0.0006808402476442927
4,0.0006899181176128833
4,0.0006989959875814738
4,0.0007080738575500644
4,0.000717151727518655
4,0.0007262295974872456
4,0.0007353074674558361
4,0.0007443853374244267
5,0.0007534632073930173
5,0.0007625410773616078
5,0.0007716189473301984
5,0.000780696817298789
5,0.0007897746872673795
5,0.0007988525572359701
5,0.0008079304272045607
5,0.0008170082971731512
5,0.0008260861671417418
5,0.0008351640371103324
5,0.000844241907078923
5,0.0008533197770475135
5,0.0008623976470161041
5,0.0008714755169846947
5,0.0008805533869532852
5,0.0008896312569218758
5,0.0008987091268904664
5,0.0009077869968590569
5,0.0009168648668276475
5,0.0009259427367962381
5,0.0009350206067648287
5,0.0009440984767334192
5,0.0009531763467020098
6,0.0009622542166706004
6,0.0009713320866391909
6,0.0009804099566077815
6,0.000989487826576372
6,0.0009985656965449626
6,0.0010076435665135532
6,0.0010167214364821438
6,0.0010257993064507343
6,0.001034877176419325
6,0.0010439550463879155
6,0.001053032916356506
6,0.0010621107863250966
6,0.0010711886562936872
6,0.0010802665262622778
6,0.0010893443962308683
6,0.001098422266199459
6,0.0011075001361680495
6,0.00111657800613664
6,0.0011256558761052306
6,0.0011347337460738212
6,0.0011438116160424117
6,0.0011528894860110023
6,0.0011619673559795929
6,0.0011710452259481835
6,0.001180123095916774
6,0.0011892009658853646
6,0.0011982788358539552
6,0.0012073567058225457
6,0.0012164345757911363
6,0.0012255124457597269
6,0.0012345903157283174
6,0.001243668185696908
6,0.0012527460556654986
6,0.0012618239256340891
6,0.0012709017956026797
6,0.0012799796655712703
6,0.0012890575355398609
6,0.0012981354055084514
6,0.001307213275477042
6,0.0013162911454456326
6,0.0013253690154142231
6,0.0013344468853828137
6,0.0013435247553514043
6,0.0013526026253199948
6,0.0013616804952885854
6,0.001370758365257176
6,0.0013798362352257666
6,0.0013889141051943571
6,0.0013979919751629477
6,0.0014070698451315383
6,0.0014161477151001288
6,0.0014252255850687194
6,0.00143430345503731
6,0.0014433813250059005
6,0.001452459194974491
6,0.0014615370649430817
6,0.0014706149349116722
