time,queue_length
0.0,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0005885993177997949,0
0.0005885993177997949,1
0.0009696183265091973,1
0.0009696183265091973,2
0.001950739694157022,2
0.001950739694157022,3
0.002237663238158073,3
0.002237663238158073,4
0.0030807216433261005,4
0.0030807216433261005,5
0.003719548343621203,5
0.003719548343621203,6
0.003989147053350852,6
0.003989147053350852,7
0.004798069933178156,7
0.004798069933178156,8
0.005043064723308538,8
0.005043064723308538,9
0.00874436021875,9
0.00874436021875,8
0.015744360218750007,8
0.015744360218750007,7
0.01899436021875001,7
0.01899436021875001,6
0.021744360218750012,6
0.021744360218750012,5
0.03049436021875002,5
0.03049436021875002,4
0.03599436021875002,4
0.03599436021875002,3
0.04549436021875003,3
0.04549436021875003,2
0.05499436021875004,2
0.05499436021875004,1
0.05924436021875004,1
0.05924436021875004,0
0.06793509543333529,0
0.06793509543333529,1
0.06793509543333529,1
0.06793509543333529,0
0.06821892194162482,0
0.06821892194162482,1
0.06852777755763746,1
0.06852777755763746,2
0.06923720058460849,2
0.06923720058460849,3
0.07042942313421494,3
0.07042942313421494,4
0.07077798548759451,4
0.07077798548759451,5
0.07124587224512292,5
0.07124587224512292,6
0.07219879211200964,6
0.07219879211200964,7
0.07353604284295805,7
0.07353604284295805,8
0.07442856638129905,8
0.07442856638129905,9
0.07496090905833529,9
0.07496090905833529,8
0.07510458295087999,8
0.07510458295087999,9
0.0764760890775915,9
0.0764760890775915,10
0.07673198829433281,10
0.07673198829433281,11
0.07796215044519123,11
0.07796215044519123,12
0.07850968158878924,12
0.07850968158878924,13
0.07888278768881817,13
0.07888278768881817,14
0.07922413837451221,14
0.07922413837451221,15
0.07946090905833529,15
0.07946090905833529,14
0.07979431656343454,14
0.07979431656343454,15
0.08097366819437858,15
0.08097366819437858,16
0.08139053985028731,16
0.08139053985028731,17
0.08228846004668228,17
0.08228846004668228,18
0.0832551562093937,18
0.0832551562093937,19
0.08390203326066457,19
0.08390203326066457,20
0.08475932661951605,20
0.08475932661951605,21
0.08503467338948403,21
0.08503467338948403,22
0.08530619479344351,22
0.08530619479344351,23
0.0857533452488267,23
0.0857533452488267,24
0.08676982521664485,24
