arrival_time,queue_length_after
0.0,0
0.03,9
0.06,18
0.09,27
0.12,36
0.15,45
0.18,54
0.21,64
0.24,73
0.27,82
0.30000000000000004,89
0.33000000000000007,88
0.3600000000000001,87
0.3900000000000001,86
0.42000000000000015,85
0.4500000000000002,84
0.4800000000000002,83
0.5100000000000002,82
0.5400000000000003,81
0.5700000000000003,80
0.6000000000000003,79
0.6300000000000003,78
0.6600000000000004,77
0.6900000000000004,76
0.7200000000000004,75
0.7500000000000004,74
0.7800000000000005,73
0.8100000000000005,72
0.8400000000000005,71
0.8700000000000006,70
0.9000000000000006,69
0.9300000000000006,68
0.9600000000000006,67
0.9900000000000007,66
1.0200000000000007,65
1.0500000000000007,64
1.0800000000000007,63
1.1100000000000008,62
1.1400000000000008,61
1.1700000000000008,60
1.2000000000000008,59
1.2300000000000009,58
1.260000000000001,57
1.290000000000001,56
1.320000000000001,55
1.350000000000001,54
1.380000000000001,53
1.410000000000001,52
1.440000000000001,51
1.470000000000001,50
1.500000000000001,49
1.5300000000000011,48
1.5600000000000012,47
1.5900000000000012,46
1.6200000000000012,45
1.6500000000000012,44
1.6800000000000013,43
1.7100000000000013,42
1.7400000000000013,41
1.7700000000000014,40
1.8000000000000014,39
1.8300000000000014,38
1.8600000000000014,37
1.8900000000000015,36
1.9200000000000015,35
1.9500000000000015,34
1.9800000000000015,33
2.0100000000000016,32
2.0400000000000014,31
2.070000000000001,30
2.100000000000001,29
2.130000000000001,28
2.1600000000000006,27
2.1900000000000004,26
2.22,25
2.25,24
2.28,23
2.3099999999999996,22
2.3399999999999994,21
2.369999999999999,20
2.399999999999999,19
2.429999999999999,18
2.4599999999999986,17
2.4899999999999984,16
2.5199999999999982,15
2.549999999999998,14
2.579999999999998,13
2.6099999999999977,12
2.6399999999999975,11
2.6699999999999973,10
2.699999999999997,9
2.729999999999997,8
2.7599999999999967,7
2.7899999999999965,6
2.8199999999999963,5
2.849999999999996,4
2.879999999999996,3
2.9099999999999957,2
2.9399999999999955,1
2.9699999999999953,0
32.99999999999999,0
33.029999999999994,9
33.059999999999995,18
33.089999999999996,27
33.12,36
33.15,45
33.18,55
33.21,64
33.24,73
33.27,82
33.300000000000004,89
33.330000000000005,88
33.36000000000001,87
33.39000000000001,86
33.42000000000001,85
33.45000000000001,84
33.48000000000001,83
33.51000000000001,82
33.54000000000001,81
33.570000000000014,80
33.600000000000016,79
33.63000000000002,78
33.66000000000002,77
33.69000000000002,76
33.72000000000002,75
33.75000000000002,74
33.78000000000002,73
33.810000000000024,72
33.840000000000025,71
33.870000000000026,70
33.90000000000003,69
33.93000000000003,68
33.96000000000003,67
33.99000000000003,66
34.02000000000003,65
34.05000000000003,64
34.080000000000034,63
34.110000000000035,62
34.140000000000036,61
34.17000000000004,60
34.20000000000004,59
34.23000000000004,58
34.26000000000004,57
34.29000000000004,56
34.32000000000004,55
34.350000000000044,54
34.380000000000045,53
34.410000000000046,52
34.44000000000005,51
34.47000000000005,50
34.50000000000005,49
34.53000000000005,48
34.56000000000005,47
34.59000000000005,46
34.620000000000054,45
34.650000000000055,44
34.68000000000006,43
34.71000000000006,42
34.74000000000006,41
34.77000000000006,40
34.80000000000006,39
34.83000000000006,38
34.86000000000006,37
34.890000000000065,36
34.920000000000066,35
34.95000000000007,34
34.98000000000007,33
35.01000000000007,32
35.04000000000007,31
35.07000000000007,30
35.10000000000007,29
35.130000000000074,28
35.160000000000075,27
35.190000000000076,26
35.22000000000008,25
35.25000000000008,24
35.28000000000008,23
35.31000000000008,22
35.34000000000008,21
35.37000000000008,20
35.400000000000084,19
35.430000000000085,18
35.460000000000086,17
35.49000000000009,16
35.52000000000009,15
35.55000000000009,14
35.58000000000009,13
35.61000000000009,12
35.64000000000009,11
35.670000000000094,10
35.700000000000095,9
35.730000000000096,8
35.7600000000001,7
35.7900000000001,6
35.8200000000001,5
35.8500000000001,4
35.8800000000001,3
35.9100000000001,2
35.940000000000104,1
35.970000000000105,0
