Stash_Size,Queue_Length,CDF
0,0,0.0
0,0,6.667111140742716e-05
0,0,0.00013334222281485432
0,0,0.0002000133342222815
0,0,0.00026668444562970864
0,0,0.0003333555570371358
0,0,0.000400026668444563
0,0,0.00046669777985199013
0,0,0.0005333688912594173
0,0,0.0006000400026668444
0,0,0.0006667111140742716
0,0,0.0007333822254816988
0,0,0.000800053336889126
0,0,0.0008667244482965531
0,0,0.0009333955597039803
1,0,0.0010000666711114075
1,0,0.0010667377825188346
1,0,0.0011334088939262618
1,0,0.0012000800053336889
1,0,0.0012667511167411161
1,0,0.0013334222281485431
1,0,0.0014000933395559704
1,0,0.0014667644509633977
1,0,0.0015334355623708247
1,0,0.001600106673778252
1,0,0.001666777785185679
1,0,0.0017334488965931062
1,0,0.0018001200080005333
1,0,0.0018667911194079605
1,0,0.0019334622308153878
1,0,0.002000133342222815
1,0,0.002066804453630242
1,0,0.002133475565037669
1,0,0.002200146676445096
1,0,0.0022668177878525236
1,0,0.0023334888992599507
1,0,0.0024001600106673777
1,0,0.002466831122074805
1,0,0.0025335022334822322
1,0,0.0026001733448896593
1,0,0.0026668444562970863
1,0,0.0027335155677045138
1,0,0.002800186679111941
1,0,0.002866857790519368
1,0,0.0029335289019267953
1,0,0.0030002000133342224
1,1,0.0030668711247416494
1,1,0.0031335422361490764
1,1,0.003200213347556504
1,1,0.003266884458963931
1,1,0.003333555570371358
1,1,0.0034002266817787855
1,1,0.0034668977931862125
1,1,0.0035335689045936395
1,1,0.0036002400160010666
1,1,0.003666911127408494
1,1,0.003733582238815921
1,1,0.003800253350223348
1,1,0.0038669244616307756
1,1,0.003933595573038203
1,1,0.00400026668444563
1,1,0.004066937795853057
1,1,0.004133608907260484
1,1,0.004200280018667911
1,1,0.004266951130075338
1,1,0.004333622241482766
1,1,0.004400293352890192
1,1,0.00446696446429762
1,1,0.004533635575705047
1,1,0.004600306687112474
1,1,0.004666977798519901
1,1,0.004733648909927329
1,1,0.004800320021334755
1,1,0.004866991132742183
1,1,0.00493366224414961
1,1,0.005000333355557037
1,1,0.0050670044669644644
1,1,0.005133675578371891
1,1,0.0052003466897793185
1,2,0.005267017801186746
1,2,0.005333688912594173
1,2,0.0054003600240016
1,2,0.0054670311354090275
1,2,0.005533702246816454
1,2,0.005600373358223882
1,2,0.005667044469631309
1,2,0.005733715581038736
1,2,0.005800386692446163
1,2,0.005867057803853591
1,2,0.005933728915261017
1,2,0.006000400026668445
1,2,0.006067071138075871
1,2,0.006133742249483299
1,2,0.006200413360890726
1,2,0.006267084472298153
1,2,0.00633375558370558
1,2,0.006400426695113008
1,2,0.006467097806520434
1,2,0.006533768917927862
1,2,0.006600440029335289
1,2,0.006667111140742716
1,2,0.0067337822521501434
1,2,0.006800453363557571
1,2,0.0068671244749649975
1,2,0.006933795586372425
1,2,0.007000466697779852
1,2,0.007067137809187279
1,2,0.0071338089205947065
1,2,0.007200480032002133
1,2,0.007267151143409561
1,2,0.007333822254816988
1,2,0.007400493366224415
1,3,0.007467164477631842
1,3,0.00753383558903927
1,3,0.007600506700446696
1,3,0.007667177811854124
1,3,0.007733848923261551
1,3,0.007800520034668978
1,3,0.007867191146076405
1,3,0.007933862257483833
1,3,0.00800053336889126
1,3,0.008067204480298686
1,3,0.008133875591706113
1,3,0.008200546703113541
1,3,0.008267217814520968
1,3,0.008333888925928396
1,3,0.008400560037335822
1,3,0.008467231148743249
1,3,0.008533902260150677
1,3,0.008600573371558104
1,3,0.008667244482965531
1,3,0.008733915594372959
1,3,0.008800586705780385
1,3,0.008867257817187812
1,3,0.00893392892859524
1,3,0.009000600040002667
1,3,0.009067271151410095
1,3,0.009133942262817522
1,3,0.009200613374224948
1,3,0.009267284485632375
1,3,0.009333955597039803
1,3,0.00940062670844723
1,3,0.009467297819854658
1,3,0.009533968931262083
1,3,0.00960064004266951
1,4,0.009667311154076938
1,4,0.009733982265484366
1,4,0.009800653376891793
1,4,0.00986732448829922
1,4,0.009933995599706646
1,4,0.010000666711114074
1,4,0.010067337822521501
1,4,0.010134008933928929
1,4,0.010200680045336356
1,4,0.010267351156743782
1,4,0.01033402226815121
1,4,0.010400693379558637
1,4,0.010467364490966065
1,4,0.010534035602373492
1,4,0.01060070671378092
1,4,0.010667377825188345
1,4,0.010734048936595773
1,4,0.0108007200480032
1,4,0.010867391159410628
1,4,0.010934062270818055
1,4,0.011000733382225483
1,4,0.011067404493632908
1,4,0.011134075605040336
1,4,0.011200746716447763
1,4,0.01126741782785519
1,4,0.011334088939262618
1,4,0.011400760050670044
1,4,0.011467431162077471
1,4,0.011534102273484899
1,4,0.011600773384892326
1,4,0.011667444496299754
1,5,0.011734115607707181
1,5,0.011800786719114607
1,5,0.011867457830522034
1,5,0.011934128941929462
1,5,0.01200080005333689
1,5,0.012067471164744317
1,5,0.012134142276151743
1,5,0.01220081338755917
1,5,0.012267484498966598
1,5,0.012334155610374025
1,5,0.012400826721781453
1,5,0.01246749783318888
1,5,0.012534168944596306
1,5,0.012600840056003733
1,5,0.01266751116741116
1,5,0.012734182278818588
1,5,0.012800853390226016
1,5,0.012867524501633443
1,5,0.012934195613040869
1,5,0.013000866724448296
1,5,0.013067537835855724
1,5,0.013134208947263151
1,5,0.013200880058670579
1,5,0.013267551170078004
1,5,0.013334222281485432
1,5,0.01340089339289286
1,5,0.013467564504300287
1,5,0.013534235615707714
1,5,0.013600906727115142
1,5,0.013667577838522568
1,5,0.013734248949929995
1,6,0.013800920061337422
1,6,0.01386759117274485
1,6,0.013934262284152277
