Alpha,Mean_Latency,P99_Latency,Max_Queue
0.2,97.89071592601354,193.81066592591554,641
0.4,73.92071592601354,146.35006592591557,484
0.6,49.95071592601354,98.88946592591559,327
0.8,25.980715926013534,51.42886592591558,170
1.0,2.010715926013537,3.968265925915598,13
1.2,0.017215926005471963,0.018215926062456374,0
1.5,0.01740967599275331,0.018215926062457324,0
2.0,0.01760967598583406,0.01821592606244756,0
